id,title,slug,description,playlist_id,url,published_at,position,created_at,updated_at
-9438GJ1clI,Shrimaan Shrimati  | Full Episode 97,shrimaan-shrimati-full-episode-97,"Ganga Mausi comes to Kokila and gives her a magical ring with the help which she can disguise as anybody, if she takes the name of that person three times. Later, Kokila takes Prema Shalini's name and disguises as Prema Shalini. After this, Dilruba sees Prema Shalini in his house as well as in Keshav's house at the same time. Watch the entire episode to know more.

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-11-14 13:29:20,96,2024-02-16 17:21:52,2024-02-19 17:09:08
-bK2OHYvfbQ,Shaktimaan - Episode 335,shaktimaan-episode-335,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL_BnV0cOaQVrWvLCMxLNEiSjMn9IjT0XO,,2014-01-22 10:51:09,131,2024-02-16 16:48:01,2024-02-19 17:09:08
-bw059RsyGQ,Malgudi Days - मालगुडी डेज - Episode 15 - The Vendor of Sweets - मिठाईवाला (Part 7),malgudi-days-malgada-daja-episode-15-the-vendor-of-sweets-mathaiival-part-7,"Subscribe to Ultra Hindi - http://bit.ly/SubscribeUltraHindi

Malgudi Days - मालगुडी डेज - Episode 15 - The Vendor of Sweets - मिठाईवाला (Part 7)


Malgudi Days is an Indian television series based on the works of R.K. Narayan. The series was directed by Kannada actor and director Shankar Nag. 
The main characters are Jagan and his son Mali. It revolves around the issues arising from the generation gap between father and son. Narayan in his superb style narrates the pr of his role in India's freedom struggle during his youth. Gita forms the staple of his life. He tries to act on the principles described in the great epic. Naturopathy forms the pivotal of his life and he even desires to publish his natural way of living in the form of a book, but obviously it is a futile dream as the draft has been gathering dust in the publisher’s office for the last five years. He wears hand spun cloth that signifies purity to him. In his early days Jagan loses his wife Ambika because of his belief in nature cures. He had never spent much time with his wife, something that causes discontent in his son Mali. Mali has got his passport and tickets ready without even informing Jagan about his plans.Mali, without his father's permission discontinues his education, and goes to America to get training to write a book. But, the old man accepts even this diversion with good heart and treasures every letter received from Mali and proudly exhibits it to anyone who cares to listen. A few years later, he comes back very Westernized and brings along a half-American, half-Korean girl, Grace. Jagan assumes that they are married, though Mali never told him this in a straightforward way, which causes great disappointment to Jagan. Jagan however develops an affection for Grace and feels Mali is not giving her the attention she deserves.

Soon Mali expresses a desire to start a machine factory with some partners from America. He asks his father to invest in this factory. Jagan is unwilling, which causes friction between Jagan and Mali. Troubled by the turmoil, Jagan decides to retire from active working. As this is happening, Mali is caught by the police for drunkenness and deserts his wife. Jagan then asks his cousin to make sure that Mali stays in prison for some time, so that he can learn his mistakes. Jagan also gives some amount of money to the cousin so that he can buy a plane ticket to Grace so she can go back to her hometown.

The conflict between the old and young generation, their ideals and the generation gap makes 'Vendor of Sweets' a memorable story.",PL_BnV0cOaQVrQ4mdkMDGp0pwl9QjRxMJY,,,14,2024-02-16 17:41:21,2024-02-16 17:41:21
-dCjK1zfArY,Shrimaan Shrimati  | Full Episode 38,shrimaan-shrimati-full-episode-38,"Dilruba tells Kuki that she is more special than Prema, to him. Kuki tells Dilruba to go and sleep as it is quite late in the night. Keshav feels Dilruba's presence in his bed room and gets angry and tells him to come out. Watch what happens when these two men come face to face with each other.
Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-08-30 16:18:00,37,2024-02-16 17:21:51,2024-02-19 17:09:08
-NYbaqEcmJo,Shaktimaan (शक्तिमान) - Full Episode 97 | Kids Hindi Tv Series,shaktimaan-shakatamana-full-episode-97-kids-hindi-tv-series,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.


#Shaktimaan",PL3E110C16D04A4070,,2012-03-26 06:40:08,96,2024-02-16 16:10:21,2024-02-19 17:09:08
-QucTAjgke8,Shaktimaan - Episode 148,shaktimaan-episode-148,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world",PL3E110C16D04A4070,,2012-11-02 07:18:13,146,2024-02-16 16:10:21,2024-02-19 17:09:08
-ulKAmRtdaY,Shaktimaan - Episode 197,shaktimaan-episode-197,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL3E110C16D04A4070,,2013-04-16 06:08:17,195,2024-02-16 16:10:21,2024-02-19 17:09:08
0-oRpBvratg,Shrimaan Shrimati  | Full Episode 32,shrimaan-shrimati-full-episode-32,"Prema Shalini questions Kuki about the thought process of a woman behind her cooking. Prema tells her that if she gets an award for her acting then she would credit her for that. Keshav enters and tells Prema to share some time with him too. Prema Shalini tells Keshav that he is too old to be spent with. Watch this funny episode to know more.
Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-08-30 15:59:01,31,2024-02-16 17:21:51,2024-02-19 17:09:08
04FKGPGX_ZY,केशु और प्रेमा शालिनी डिनर करने जा रहे है l  Shrimaan Shrimati | Full Episode 210 #Shrimanshrimati,kasha-oura-parama-shalna-danara-karana-ja-raha-ha-l-shrimaan-shrimati-full-episode-210-shrimanshrimati,"केशु और प्रेमा शालिनी डिनर करने जा रहे है I Shrimaan Shrimati | Full Episode 210 #Shrimanshrimati #comedy 

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife. SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor

#youtube #youtuber #instagram #music #love #follow #like #explorepage #youtubers #youtubechannel #gaming #twitch #video #instagood #hiphop #memes #viral #subscribe #gamer #rap #facebook #explore #ps #art #soundcloud #k #artist #trending #Bollywood #india #webseries #show  #masti #video #Shrimanshrimati #comedy #mastikhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,,193,2024-02-16 17:29:59,2024-02-16 17:29:59
05Z65noaEr0,Shaktimaan (शक्तिमान) - Full Episode 10 | Kids Hindi Tv Series,shaktimaan-shakatamana-full-episode-10-kids-hindi-tv-series,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.

#Shaktimaan",PL3E110C16D04A4070,,2011-03-05 08:25:27,9,2024-02-16 16:10:21,2024-02-19 17:09:08
08JoVdwhE8w,केशु को पड़ा दिल का दौरा | Shrimaan Shrimati | Full Epi 49| Comedy Series,kasha-ka-pa-thal-ka-thara-shrimaan-shrimati-full-epi-49-comedy-series,"केशु को पड़ा दिल का दौरा |  Shrimaan Shrimati | Full Epi 49 | Comedy Series

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife. SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,,185,2024-02-16 17:29:59,2024-02-16 17:29:59
0GIKmn9yCb8,Shrimaan Shrimati  | Full Episode 112,shrimaan-shrimati-full-episode-112,"An astrologer advises Prema Shalini to leave the house and tells her that success is not possible for her if she continues living in the same house. Later, Keshav comes to know this and tells Prema to interchange her house with his. Watch the entire episode to know more.

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-11-14 13:28:12,110,2024-02-16 17:21:52,2024-02-19 17:09:08
0JNMhhEIrRM,प्रेमाजी चली हॉलीवुड क्या होगा अब केशु का ? Shrimaan Shrimati | Full Episode 60 #Shrimanshrimati,paramaja-cal-halvada-kaya-haga-ab-kasha-ka-shrimaan-shrimati-full-episode-60-shrimanshrimati,"प्रेमाजी चली हॉलीवुड क्या होगा अब केशु का ? Shrimaan Shrimati | Full Episode 60 #Shrimanshrimati #comedy  Comedy Series

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife. SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor

#youtube #youtuber #instagram #music #love #follow #like #explorepage #youtubers #youtubechannel #gaming #twitch #video #instagood #hiphop #memes #viral #subscribe #gamer #rap #facebook #explore #ps #art #soundcloud #k #artist #trending #Bollywood #india #webseries #show  #masti #video #Shrimanshrimati #comedy #mastikhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,,176,2024-02-16 17:29:59,2024-02-16 17:29:59
0lnlS0TpKB0,Shaktimaan - Episode 143,shaktimaan-episode-143,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL3E110C16D04A4070,,2012-10-22 09:13:53,141,2024-02-16 16:10:21,2024-02-19 17:09:08
0SwqeTkqhq8,Shaktimaan - Episode 297,shaktimaan-episode-297,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL_BnV0cOaQVrWvLCMxLNEiSjMn9IjT0XO,,2013-11-21 09:19:40,95,2024-02-16 16:48:01,2024-02-19 17:09:08
0U41N0Oafuo,Shaktimaan (शक्तिमान) - Full Episode 25 | Kids Hindi Tv Series,shaktimaan-shakatamana-full-episode-25-kids-hindi-tv-series,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.

#Shaktimaan",PL3E110C16D04A4070,,2011-04-12 06:28:52,24,2024-02-16 16:10:21,2024-02-19 17:09:08
0ViVEEb_cyI,Shaktimaan - Episode 199,shaktimaan-episode-199,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL3E110C16D04A4070,,2013-04-16 07:07:45,197,2024-02-16 16:10:21,2024-02-19 17:09:08
0yB_Vwi-3t4,Shrimaan Shrimati  | Full Episode 126,shrimaan-shrimati-full-episode-126,"Keshav buys some stale vegetables from the vendor and while he leaves the place, suddenly a Baba calls him with his name. Listening his name from the Baba, he feels blessed that he is meeting a wonderful astrologer. Further, the Baba gives him a magical diary. Watch this show to know more.

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife. Keshav Kulkarni (Jatin Kanakia) and his wife Kokila's (Reema Lagoo) life changes when popular film actress Prema Shalini (Archana Puran Singh) comes to live in their neighborhood with Dilruba (Rakesh Bedi), her effeminate husband. Keshav, who has always desired of a glamorous life partner, gets attracted to Prema. On the other hand, Dilruba finds Kokila's intelligence to be attractive. Watch these men fail in their funny attempts to impress each others' wife. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-11-14 13:03:26,124,2024-02-16 17:21:52,2024-02-19 17:09:08
18_AwAOeA0o,Shaktimaan (शक्तिमान) - Full Episode 66 | Kids Hindi Tv Series,shaktimaan-shakatamana-full-episode-66-kids-hindi-tv-series,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.

#Shaktimaan",PL3E110C16D04A4070,,2012-01-02 06:32:12,65,2024-02-16 16:10:21,2024-02-19 17:09:08
1AKUqJ-1j_0,Shaktimaan - Episode 174,shaktimaan-episode-174,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL3E110C16D04A4070,,2013-03-02 10:46:32,172,2024-02-16 16:10:21,2024-02-19 17:09:08
1BBRFIdMhvA,Raja aur Rancho - Part 19,raja-aur-rancho-part-19,"Part 19 of Super HIt TV serial Raja Aur Rancho starring Mohan Bhandari, Ved Thappar, Wonder Monkey. Director: Murali Nallappa, Producer: Murali Nallappa. Synopsis : It requires just pure honesty to motivate Raja to get cracking into any complicated mystery; and his ever faithful partner Rancho (the wonder monkey) is instantly ready to follow the footsteps of his master with vital clues and his characteristics observations. However thick the mystery, however clever the opponent, Raja and Rancho know just how to unravel the truth from the most eluding forces of falsehood. Always ready to help honest friends and root out evil, Raja and Rancho travel through a wide cross section of characters, experiences and locales to provide the richest fare in crime bursting, pulsating with human emotions. Designed as a simple and racy entertainer for viewers of all age groups, it attempts to capture the intriguing world of machination, conmanship and deceit and the fascination process of how our heroes set about defeating the rivals",PL5FFD61A8A15A9D53,,2011-05-09 06:51:41,18,2024-02-16 17:12:45,2024-02-16 17:12:45
1E7yFEHi6lI,Shrimaan Shrimati | Full Episode  99,shrimaan-shrimati-full-episode-99,"Sharma scolds Keshav seeing him sitting on his chair. Later, Sharma's sister-in-law arrives in his office and tells Keshav that Prema has fallen from a horse, at the same when she fell down from a different horse in a different city. After this, Keshav goes to Prema Shalini's house to ask about her health. Watch this funny show to know more.


Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-11-14 13:29:20,98,2024-02-16 17:21:52,2024-02-19 17:09:08
1GQrq-8AxTQ,Shaktimaan - Episode 212,shaktimaan-episode-212,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL_BnV0cOaQVrWvLCMxLNEiSjMn9IjT0XO,,2013-05-10 07:51:19,11,2024-02-16 16:48:00,2024-02-19 17:09:08
1hdErNJJhhA,Shrimaan Shrimati | Full Episode  107,shrimaan-shrimati-full-episode-107,"Chintu makes Keshav angry by continuously irritating him. Later, Keshav goes to Prema Shalini's house and tells her to be cautious as a thief has entered in their society. After this, police arrests the thief but before he leaves the place, the thief gives a curse to Keshav that he will start stealing things. Watch this show to know more.

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife.

SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor
Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,2013-11-14 13:28:11,105,2024-02-16 17:21:52,2024-02-19 17:09:08
1jgaNoVwv4Y,केशु ने की दिलरुबा की सामान लाने मैं मदद I Shrimaan Shrimati | Full Episode 201,kasha-na-ka-thalrab-ka-samana-lna-ma-mathatha-i-shrimaan-shrimati-full-episode-201,"केशु ने की दिलरुबा की सामान लाने मैं मदद I Shrimaan Shrimati | Full Episode 201 #Shrimanshrimati #comedy 

Shrimaan Shrimati, a famous sitcom by Adhikari Brothers, reflects the notion of loving one's neighbor's wife. SUBSCRIBE for the ultimate dose of laughter! https://www.youtube.com/user/mastiiikhor Don't forget to Like, Comment and Share with your friends and family. Click to Subscribe - http://bit.ly/MastiKhor

#youtube #youtuber #instagram #music #love #follow #like #explorepage #youtubers #youtubechannel #gaming #twitch #video #instagood #hiphop #memes #viral #subscribe #gamer #rap #facebook #explore #ps #art #soundcloud #k #artist #trending #Bollywood #india #webseries #show  #masti #video #Shrimanshrimati #comedy #mastikhor",PLn-69keDbw1LEVME-i3mW7VCOu_KGLCFi,,,175,2024-02-16 17:29:59,2024-02-16 17:29:59
1jz-kWsHuFc,Shaktimaan - Episode 130,shaktimaan-episode-130,"Shaktimaan is the ""Indian Super Hero"" who has been an icon for kids in India. Shaktimaan in his heroic avatar will be a powerhouse dedicated towards fighting against evil plans and saving the human kind. Shaktimaan is one among us, a young man with a good heart, standing tall as a savior of humanity, reminding us of who we are while unearthing and uprooting all evil, with a single purpose of saving this world, saving his world.",PL3E110C16D04A4070,,2012-06-30 10:19:53,128,2024-02-16 16:10:21,2024-02-19 17:09:08
